game_id,hand_id,round_index,player_name,action,amount,hole_cards,community_cards,pot,player_stack,small_blind,big_blind,winner
a0fff211-95be-4c79-9382-2aafbd635955,1,preflop,Dave,raise,30,S7-S5,,60,970,10,20,Alice
a0fff211-95be-4c79-9382-2aafbd635955,1,preflop,Alice,fold,0,C6-DK,,60,1000,10,20,Alice
a0fff211-95be-4c79-9382-2aafbd635955,1,preflop,Bob,raise,40,CA-DJ,,90,960,10,20,Alice
a0fff211-95be-4c79-9382-2aafbd635955,1,preflop,Carol,raise,62,D8-C2,,132,938,10,20,Alice
a0fff211-95be-4c79-9382-2aafbd635955,1,preflop,Dave,call,62,S7-S5,,164,938,10,20,Alice
a0fff211-95be-4c79-9382-2aafbd635955,1,preflop,Bob,call,62,CA-DJ,,186,938,10,20,Alice
a0fff211-95be-4c79-9382-2aafbd635955,1,flop,Bob,call,0,CA-DJ,H7-S8-S4,186,938,10,20,Alice
a0fff211-95be-4c79-9382-2aafbd635955,1,flop,Carol,raise,74,D8-C2,H7-S8-S4,260,864,10,20,Alice
a0fff211-95be-4c79-9382-2aafbd635955,1,flop,Dave,raise,148,S7-S5,H7-S8-S4,408,790,10,20,Alice
a0fff211-95be-4c79-9382-2aafbd635955,1,flop,Bob,call,148,CA-DJ,H7-S8-S4,556,790,10,20,Alice
a0fff211-95be-4c79-9382-2aafbd635955,1,flop,Carol,raise,222,D8-C2,H7-S8-S4,704,716,10,20,Alice
a0fff211-95be-4c79-9382-2aafbd635955,1,flop,Dave,fold,0,S7-S5,H7-S8-S4,704,790,10,20,Alice
a0fff211-95be-4c79-9382-2aafbd635955,1,flop,Bob,raise,563,CA-DJ,H7-S8-S4,1119,375,10,20,Alice
a0fff211-95be-4c79-9382-2aafbd635955,1,flop,Carol,call,563,D8-C2,H7-S8-S4,1460,375,10,20,Alice
a0fff211-95be-4c79-9382-2aafbd635955,1,turn,Bob,call,0,CA-DJ,H7-S8-S4-H8,1460,375,10,20,Alice
a0fff211-95be-4c79-9382-2aafbd635955,1,turn,Carol,fold,0,D8-C2,H7-S8-S4-H8,1460,375,10,20,Alice
a0fff211-95be-4c79-9382-2aafbd635955,2,preflop,Alice,fold,0,S2-ST,,30,1000,10,20,Bob
a0fff211-95be-4c79-9382-2aafbd635955,2,preflop,Bob,raise,30,D7-CA,,60,1805,10,20,Bob
a0fff211-95be-4c79-9382-2aafbd635955,2,preflop,Carol,fold,0,C9-H8,,60,365,10,20,Bob
a0fff211-95be-4c79-9382-2aafbd635955,2,preflop,Dave,fold,0,DQ-DA,,60,770,10,20,Bob
a0fff211-95be-4c79-9382-2aafbd635955,3,preflop,Bob,call,20,DQ-S4,,50,1845,10,20,Alice
a0fff211-95be-4c79-9382-2aafbd635955,3,preflop,Carol,raise,30,S7-S9,,80,335,10,20,Alice
a0fff211-95be-4c79-9382-2aafbd635955,3,preflop,Dave,fold,0,S5-H2,,80,760,10,20,Alice
